"id_proposta_vda_monitorada","cliente","descricao_proposta","situacao_proposta","data_proposta","usuario","vlr_proposta"
42791,622320,INTRODUÃ├O STARLUX ENERGY,E,2025-01-02 10:04:00.000,172650,1.00
42792,900649,INTRODUÃ├O MAPEX,R,2025-01-03 08:28:00.000,172114,1.00
42793,904555,AJUSTE DENTIL BOB ESPONJA TABELA,A,2025-01-03 09:47:00.000,172650,2973.60
42794,629309,INTRODUÃ├O ISABABY DROGARIAS,R,2025-01-03 14:22:00.000,172650,1.00
42795,140034,NEGOCIAÃ├O ESCOLAR,A,2025-01-03 15:58:00.000,172650,22770.58
42796,93207,PROPOSTA INTRODUCAO CARMED,A,2025-01-03 16:49:00.000,151662,36930.88
42797,904555,COMMODITIES ERRO COTACAO,A,2025-01-03 17:26:00.000,172650,15989.68
42798,811965,NEGOCIAÃ├O MATERIAL ESCOLAR,R,2025-01-04 10:56:00.000,131656,1.00
42799,622320,VOLTA AS AULAS 2025,A,2025-01-04 11:45:00.000,172650,1.00
42800,563274,INTRODUÃ├O CARMED,R,2025-01-06 11:32:00.000,131656,1.00
42801,745104,INTRODUÃ├O STARLUX ENERGY,A,2025-01-07 16:08:00.000,172114,1563.53
42802,762879,NEGOCIAÃ├O TEMPORADA ESCOLAR 2025,A,2025-01-07 17:01:00.000,166082,218661.60
42803,554763,NEGOCIAÃ├O TEMPORADA ESCOLAR,R,2025-01-07 18:37:00.000,166082,0.10
42804,875673,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-01-08 08:26:00.000,158188,18000.00
42805,703132,REPOSIÃ├O BBOAT,A,2025-01-08 08:43:00.000,175646,7900.56
42806,745726,NEGOCIAÃ├O MONITORADOS,A,2025-01-08 09:40:00.000,154815,21000.00
42807,444460,NEGOCIAÃ├O MAPEX,A,2025-01-08 13:39:00.000,166082,5984.62
42808,444460,NEGOCIAÃ├O TEMPORADA ESCOLAR,R,2025-01-08 13:40:00.000,166082,0.10
42809,912200,NEGOCIAÃ├O MAPEX,A,2025-01-08 13:41:00.000,166082,31552.03
42810,841765,NEGOCIAÃ├O PILHAS,R,2025-01-08 16:02:00.000,131656,1.00
42811,536098,VOLTA AS AULAS,E,2025-01-08 21:07:00.000,172650,10302.36
42812,117097,NEGOCIAÃ├O ESCOLAR,R,2025-01-08 21:11:00.000,172650,9613.77
42813,83652,VOLTAS AS AULAS 2025,A,2025-01-08 21:13:00.000,172650,18620.99
42814,978352,INTRODUÃ├O FRALDAS E PILHAS,A,2025-01-08 21:17:00.000,172650,17069.52
42815,829565,ESCOLAR REDE LUCAS,R,2025-01-08 21:30:00.000,172650,1.00
42816,598854,REPOSICAO / INTRODUCAO MAPEX,A,2025-01-09 09:33:00.000,151662,45059.00
42817,749229,NEGOCIAÃ├O STARLUX ENERGY,R,2025-01-09 10:33:00.000,131656,1.00
42818,706443,NEGOCIAÃ├O MAPEX,R,2025-01-09 16:30:00.000,166082,0.10
42819,588275,PROPOSTAS@ARCOM,R,2025-01-09 16:51:00.000,161240,1.00
42820,842297,NEGOCIAÃ├O MAPEX,R,2025-01-10 08:36:00.000,166082,0.10
42821,130536,NEGOCIAÃ├O MAPEX,R,2025-01-10 11:02:00.000,131656,1.00
42822,193627,INTRODUÃ├O STARSCHOOL,A,2025-01-10 14:16:00.000,131656,5499.64
42870,870026,NEGOCIAÃ├O MAPEX,A,2025-01-10 17:24:00.000,166082,65537.94
42871,880442,NEGOCIAÃ├O TEMPORADA ESCOLAR,A,2025-01-11 10:02:00.000,166082,6334.53
42872,76881,INTRODUÃ├O CARMED,R,2025-01-13 11:20:00.000,172114,40000.00
42873,896865,LIBERAÃ├O LVPG,A,2025-01-13 12:27:00.000,172650,1.00
42874,93679,INTRODUCAO V.A STARSCHOOL,R,2025-01-13 14:00:00.000,151662,10000.00
42875,162453,INTRODUCAO MARCAS PARA NEGOCIAÃ├O MOTO,E,2025-01-13 16:03:00.000,151662,10082.74
42876,52560,PROPOSTA UNIVERSO INFANTIL REATIVAÃ├O,R,2025-01-13 16:44:00.000,172650,1.00
42877,851925,NEGOCIAÃ├O MAPEX,R,2025-01-13 17:30:00.000,166082,0.10
42878,41349,NEGOCIAÃ├O MAPEX,A,2025-01-14 08:04:00.000,166082,28063.20
42879,829565,REPOSIÃ├O MIX MAPEX,A,2025-01-14 10:19:00.000,172650,24726.06
42880,550853,INTRODUÃ├O MAPEX,R,2025-01-14 10:38:00.000,166082,0.10
42881,135222,REPOSICAO MAPEX,A,2025-01-14 17:35:00.000,151662,2708.38
42882,715792,AÃıES JANEIRO,A,2025-01-15 08:57:00.000,172650,342824.00
42883,905502,PROPOSTA JANEIRO VOLUME MENSAL,A,2025-01-15 09:27:00.000,172650,161897.61
42884,919162,"EDUARDO SOUSA - PROPOSTA TRIM - R$ 65.192,00",A,2025-01-15 10:00:00.000,175646,65192.00
42885,11371,ANDRESSA PROPOSTA CROCKS,A,2025-01-15 10:13:00.000,172650,10453.85
42886,115452,"EDUARDO SOUSA PROPOSTA CROCKS - R$ 46.000,00",R,2025-01-15 10:13:00.000,175646,1.00
42887,82586,AÃ├O TOALHINHAS TRIANGULO,R,2025-01-15 10:40:00.000,172650,1.00
42888,338615,INTRODUÃ├O CROCKS,R,2025-01-15 10:47:00.000,131656,1.00
42889,656755, ANDRESSA PROPOSTA TRIM,R,2025-01-15 10:57:00.000,172650,1.00
42890,640556,INTRODUÃ├O E REPOSIÃ├O COTY / TRIM,R,2025-01-15 11:06:00.000,158188,16000.00
42891,573850,INTRODUÃ├O E REPOSIÃ├O COTY / CROCKS,R,2025-01-15 11:17:00.000,158188,16000.00
42892,76069,"ANDRESSA PROPOSTA CROCKS - 20.135,57",A,2025-01-15 11:32:00.000,172650,20375.57
42893,622320,"ANDRESSA PROPOSTA CROCKS - R$18.647,88",A,2025-01-15 11:33:00.000,172650,18647.88
42894,593902," ROBERTA - PROPOSTA COTY EXCLUSIVOS - R$: 10.171,62",A,2025-01-15 11:37:00.000,172114,10171.62
42895,855174,NEGOCIAÃ├O MAPEX,R,2025-01-16 09:47:00.000,131656,1.00
42896,396735,GISLENE INTRO/REPO COTY,R,2025-01-16 11:00:00.000,131656,1.00
42897,338615,GISLENE NEGOCIAÃ├O COTY,R,2025-01-16 11:04:00.000,131656,1.00
42898,509268,PROPOSTA BH - FRALDAS,R,2025-01-16 14:33:00.000,172650,1.00
42899,83652,"ANDRESSA PROPOSTA TRIM R$18.111,82",A,2025-01-16 17:14:00.000,172650,19854.42
42900,353785,GISLENE NEGOCIAÃ├O COTY,R,2025-01-16 17:27:00.000,131656,1.00
42901,376795,CARLOS VAZ PROPOSTA COTY,R,2025-01-16 20:54:00.000,166082,0.10
42902,76011,CARLOS VAZ PROPOSTA COTY,R,2025-01-16 21:28:00.000,166082,0.10
42903,10756,JBP 2025,E,2025-01-16 21:29:00.000,172650,1.00
42904,611150,REPOSIÃ├O MAPEX,A,2025-01-16 21:33:00.000,172650,30297.97
42905,76011,CARLOS VAZ PROPOSTA TRIM,R,2025-01-16 21:53:00.000,166082,0.10
42906,752427,CARLOS VAZ PROPOSTA COTY,R,2025-01-16 21:57:00.000,166082,0.10
42907,629309,INTRODUÃ├O STARLUX ENERGY,R,2025-01-16 22:05:00.000,172650,1.00
42908,846960,CARLOS VAZ PROPOSTA COTY,R,2025-01-16 22:12:00.000,166082,0.10
42909,767565,ANDRESSA PROPOSTA COTY,R,2025-01-16 22:33:00.000,172650,1.00
42910,76220,CARLOS VAZ PROPOSTA COTY E TRIM,A,2025-01-16 23:18:00.000,166082,9988.00
42911,779639,NEGOCIAÃ├O MAPEX,R,2025-01-16 23:39:00.000,166082,6048.90
42912,509268, ANDRESSA PROPOSTA COTY,R,2025-01-17 09:29:00.000,172650,1.00
42913,575524,GISLENE PROPOSTA TRIM,R,2025-01-17 10:07:00.000,131656,1.00
42914,600103,GISLENE PROPOSTA COTY,R,2025-01-17 10:25:00.000,131656,1.00
42915,148658,AÃıES JANEIRO,A,2025-01-17 11:13:00.000,172650,21446.72
42916,23047,GISLENE PROPOSTA CROCKS,R,2025-01-17 11:29:00.000,131656,1.00
42917,571948,GISLENE PROPOSTA COTY,R,2025-01-17 17:31:00.000,131656,1.00
42918,859407,NEGOCIAÃ├O MAPEX',A,2025-01-18 11:36:00.000,166082,4904.78
42919,76011,NEGOCIAÃ├O INTRODUÃıES TRIM CIMED,R,2025-01-19 14:17:00.000,166082,0.10
42920,525788,INTRODUÃ├O/REPOSIÃ├O COTY,R,2025-01-20 17:13:00.000,172114,1.00
42921,806326,INTRODUÃ├O STARLUX ENERGY,E,2025-01-20 17:16:00.000,154815,126241.40
42922,57806,INTRODUÃ├O/REPOSIÃAO CARMED TRIM,A,2025-01-20 17:45:00.000,172114,6942.03
42923,190767,REPOSICAO COTY,A,2025-01-20 17:58:00.000,151662,4894.20
42924,50610,INTRODU~Ã├O E REPOSIÃ├O MAPEX,R,2025-01-21 07:49:00.000,158188,23000.00
42925,140744,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-01-21 08:17:00.000,158188,22772.96
42926,826485,REPOSIÃ├O MAPEX,A,2025-01-21 11:13:00.000,172650,24461.20
42927,194336,INAUGURAÃ├O LOJA - 194336,A,2025-01-21 11:24:00.000,172650,7617.13
42928,904555,ANDRESSA PROPOSTA COTY,R,2025-01-21 13:58:00.000,172650,1.00
42929,10756,CONVENÃ├O DROGALIDER,R,2025-01-21 16:43:00.000,172650,1.00
42930,905502,AVALIAÃ├O TOALHINHAS TABELA,R,2025-01-21 16:54:00.000,172650,1.00
42931,10756,ANDRESSA PROPOSTA CROCKS,A,2025-01-21 17:27:00.000,172650,1944.28
42932,866048,INTRODUÃ├O STARSCHOOL // STAROFFICE,A,2025-01-21 17:46:00.000,172114,4452.64
42933,756334,INTRODUÃ├O BBOAT,R,2025-01-22 17:52:00.000,175646,1.00
42934,134559,CARLOS VAZ PROPOSTA COTY,R,2025-01-22 18:14:00.000,166082,0.10
42935,594713,INTRODUÃ├O CROCKS /STARLUX UD,R,2025-01-22 19:15:00.000,158188,20000.00
42936,620458,ANDRESSA PROPOSTA CROCKS,R,2025-01-23 09:27:00.000,172650,1.00
42937,679543, 	CARLOS VAZ PROPOSTA COTY,R,2025-01-23 09:37:00.000,166082,0.10
42938,166116,INTRODUÃ├O ISACARE DENTIL E COTY,A,2025-01-23 09:53:00.000,166082,1233.46
42939,997986,CARLOS VAZ PROPOSTA COTY E TRIM,E,2025-01-23 10:12:00.000,166082,0.10
42940,891209,CARLOS VAZ PROPOSTA COTY,R,2025-01-23 10:14:00.000,166082,0.10
42941,129479,"CARLOS VAZ PROPOSTA COTY - R$20.220,40",A,2025-01-23 10:15:00.000,166082,20220.40
42942,887295,PROPOSTA INTRODUÃ├O STARLUX ENERGY,R,2025-01-23 11:26:00.000,172650,1.00
42943,530117,INTRODUÃ├O ENERGY - TROCA DE BRINDE,A,2025-01-23 16:55:00.000,172650,24238.45
42944,82414,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-01-23 17:33:00.000,158188,8905.11
42945,885023,ANDRESSA PROPOSTA COTY,R,2025-01-24 08:32:00.000,172650,1.00
42946,714719,NIVEA,A,2025-01-24 10:41:00.000,172114,89239.04
42947,183823,PROPOSTA COTYáEXCLUSIVOSá-,R,2025-01-24 14:26:00.000,151662,50000.00
42948,515235,INTRODUÃ├O CARMED,A,2025-01-24 14:56:00.000,172114,9859.20
42949,530117,STARLUX ENERGY - RESTANTE INTRODUÃ├O,A,2025-01-24 15:36:00.000,172650,21500.05
42950,77771,REPOSIÃ├O STARSCHOOL VOLTA  AS AULAS,A,2025-01-25 10:13:00.000,166082,7025.55
42951,96000,REPOSIÃ├O STARSCHOOL VOLTA  AS AULAS,A,2025-01-25 10:14:00.000,166082,19239.01
42952,829565,JBP 2025 - REDE LUCAS,A,2025-01-27 10:37:00.000,172650,1.00
42953,658086,INTRODUÃ├O MAPEX,R,2025-01-27 15:06:00.000,131656,1.00
42954,811965,INTRODUÃ├O CARMED,R,2025-01-27 15:53:00.000,131656,1.00
42955,845098,GISLENE PROPOSTA TRIM - R$,R,2025-01-27 17:17:00.000,131656,1.00
42956,914241,NOME PROPOSTA TRIM - R$,A,2025-01-27 17:22:00.000,131656,10597.34
42957,772876,NEGOCIAÃ├O MAPEX,R,2025-01-27 17:35:00.000,166082,0.10
42958,714719,"ROBERTA PROPOSTA COTY EXCLUSIVOS - R$ : 8.518,80",A,2025-01-27 17:49:00.000,172114,8518.89
42959,904555,SUBSTITUIÃ├O BOB ESPONJA - SONIC,R,2025-01-27 20:21:00.000,172650,1.00
42960,775091,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-01-27 22:30:00.000,158188,17000.00
42961,625679,"GISLENE PROPOSTA TRIM - R$ 8.000,00",R,2025-01-28 10:05:00.000,131656,1.00
42962,866048,INTRODUÃ├O STARLUX ENERGY,R,2025-01-28 10:57:00.000,172114,10000.00
42963,338615,"GISLENE PROPOSTA TRIM R$ 8000,00",R,2025-01-28 15:04:00.000,131656,1.00
42964,507318,REPOSICAO MAPEX / CADASTRO 1 NOVO SKU,A,2025-01-28 16:35:00.000,151662,32142.00
42965,899159,INTRODUÃ├O CROCKS / CARMED,R,2025-01-28 17:34:00.000,158188,5000.00
42966,135222,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-01-28 17:37:00.000,158188,5000.00
42967,509421,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-01-28 17:39:00.000,158188,1.00
42968,376795,INTRODUÃ├O CARMED,R,2025-01-29 08:28:00.000,166082,0.10
42969,850861,"CARLOS VAZ PROPOSTA TRIM - R$8.000,00",R,2025-01-29 09:16:00.000,166082,0.10
42970,78772,"CARLOS VAZ PROPOSTA TRIM - R$8.000,00",R,2025-01-29 10:10:00.000,166082,0.10
42971,581097,REPOSIÃ├O MAPEX - TV,A,2025-01-29 10:18:00.000,172650,15319.64
42972,758112,"CARLOS VAZ PROPOSTA TRIM - R$8.000,00",A,2025-01-29 14:12:00.000,166082,17864.73
42973,762879,REPOSIÃ├O STARSCHOOL VOLTA  AS AULAS 25,R,2025-01-29 14:24:00.000,166082,0.10
42974,870026,"CARLOS VAZ PROPOSTA TRIM - R$18.146,96",A,2025-01-29 15:16:00.000,166082,80583.47
42975,876303,REPOSIÃ├O MAPEX,A,2025-01-29 22:21:00.000,151662,13768.00
42976,750844,REPOSIÃ├O COTY,R,2025-01-30 11:17:00.000,172114,1.00
42977,778784,"CARLOS VAZ PROPOSTA TRIM - R$8.422,14",A,2025-01-30 15:05:00.000,166082,8422.14
42978,709930,NEGOCIAÃ├O MAPEX,R,2025-01-30 17:02:00.000,166082,0.10
42979,137185,INTRODUÃ├O MAPEX,A,2025-01-30 17:31:00.000,158188,6108.57
42980,837944,"CARLOS VAZ PROPOSTA COTY - R$8.482,50",A,2025-01-31 13:26:00.000,166082,9773.70
42981,444460,NEGOCIAÃ├O MAPEX,A,2025-01-31 13:50:00.000,166082,8881.00
42982,141608,CARLOS VAZ PROPOSTA COTY - R$8982,A,2025-01-31 13:57:00.000,166082,20578.08
42983,665787,"CARLOS VAZ PROPOSTA TRIM E COTY - R$18.000,00",R,2025-01-31 14:14:00.000,166082,0.10
42984,78772,"CARLOS VAZ PROPOSTA COTY R$9.203,52",A,2025-01-31 14:28:00.000,166082,9203.52
42985,887295,LOJA INAUGURAÃ├O KARAIBA,A,2025-01-31 14:52:00.000,172650,11263.20
42986,620458,LVPG CARMED TABLET - UNIFICAR,A,2025-01-31 15:28:00.000,172650,2399.16
42987,730535,AÃ├O DE SELLOUT CARNAVAL,A,2025-01-31 17:17:00.000,166082,17131.68
42988,527677,"CARLOS VAZ PROPOSTA TRIM - R$8.815,26",A,2025-01-31 17:18:00.000,166082,8815.26
42989,23047,"GISLENE PROPOSTA COTY EXCLUSIVOS - R$ 8000,00",R,2025-02-01 08:28:00.000,131656,1.00
42990,887295,REATIVAÃ├O SLIMES - 887295,E,2025-02-03 10:25:00.000,172650,1.00
42991,887295,INTRODUÃ├O CIMED E TRIM,R,2025-02-03 10:45:00.000,172650,1.00
42992,887295,INTRODUÃ├O CROCKS,R,2025-02-03 10:51:00.000,172650,1.00
42993,183823,PROPOSTA  TRABALHO DE CAMPO,A,2025-02-03 14:10:00.000,151662,8865.00
42994,598854,PROPOSTA TRABALHO DE CAMPO,A,2025-02-03 14:23:00.000,151662,31620.00
42995,826485,PROPOSTA STARLUX ENERGY - INT/REP,R,2025-02-03 15:21:00.000,172650,50000.00
42996,135222,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-02-03 16:17:00.000,158188,5000.00
42997,977817,NEGOCIAÃ├O MAPEX,A,2025-02-03 23:06:00.000,166082,7925.36
42998,756334,INTRODUÃ├O BBOAT,A,2025-02-04 09:16:00.000,175646,31259.52
42999,39804,NEGOCIAÃ├O REPOSIÃ├O MAPEX,R,2025-02-04 09:24:00.000,131656,1.00
43000,135222,"KARINA PROPOSTA CROCKS- R$8.000,00",R,2025-02-04 10:28:00.000,158188,8000.00
43001,776623,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-02-04 16:40:00.000,158188,13219.69
43002,882875,"GISLENE PROPOSTA CROCKS - R$ 8000,00",A,2025-02-04 17:17:00.000,131656,8179.05
43003,147008,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-02-05 08:48:00.000,158188,1200.00
43004,987224,INTRODUÃ├O STARLUX ENERGY,A,2025-02-05 14:12:00.000,158188,25337.76
43005,533872,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-02-05 14:33:00.000,158188,4329.40
43006,883923,PROPOSTA MOTO CONTRATO RETORNO,R,2025-02-05 16:11:00.000,151662,1.00
43007,790738,"CARLOS VAZ PROPOSTA COTY - R$8.000,00",A,2025-02-05 20:07:00.000,166082,12042.12
43008,795044,PROPOSTA INTRODUCAO CARMED CREME DENTAL + ENXAGUANTE,R,2025-02-06 15:05:00.000,151662,1.00
43009,826485,PROPOSTA FINI ORAL CIMED,R,2025-02-06 16:32:00.000,172650,1.00
43010,931279,"KARINA PROMOÃ├O CROCKS EXCLUSIVOS - 8.828,16",A,2025-02-06 16:48:00.000,158188,8828.16
43011,806326,INAUGURAÃ├O LOJA,A,2025-02-07 08:20:00.000,172650,9665.13
43012,983223,REPOSICAO / INTRODUCAO,A,2025-02-07 11:19:00.000,151662,21770.00
43013,166510,NEGOCIAÃ├O MAPEX,A,2025-02-07 14:45:00.000,166082,32070.88
43014,931279,INTRODUÃ├O STARLUX ENERGY,R,2025-02-07 15:07:00.000,158188,30000.00
43015,536098,JBP 2025,R,2025-02-09 20:49:00.000,172650,1.00
43016,622320,AÃıES CROCKS BATATA TUBO,R,2025-02-09 21:14:00.000,172650,1.00
43017,887295,PROPOSTAS TOALHINHAS FEV,R,2025-02-09 22:08:00.000,172650,1.00
43018,905502,KIT DIVULGAÃ├O BLOGUEIRAS,R,2025-02-09 22:32:00.000,172650,1.00
43019,353785,"GISLENE PROPOSTA COTY - R$ 8000,00",R,2025-02-10 08:55:00.000,131656,1.00
43020,851674,INTRODUÃ├O ISACARE,R,2025-02-10 10:50:00.000,166082,0.10
43021,714719,REPOSIÃ├O DUCHAS,R,2025-02-10 14:22:00.000,172114,1.00
43022,39450,INTRODUÃ├O CARMED,R,2025-02-10 15:58:00.000,172114,1.00
43023,979194,NEGOCIAÃ├O CARMED,R,2025-02-11 09:17:00.000,131656,18450.00
43024,848238,INTRODUÃ├O CARMED,A,2025-02-11 09:23:00.000,131656,5388.12
43025,799893,INTRODUCAO CIMED,R,2025-02-11 09:25:00.000,131656,1.00
43026,23047,INTRODUÃ├O CIMED,R,2025-02-11 09:33:00.000,131656,1.00
43027,353785,INTRODUÃ├O CIMED,R,2025-02-11 09:33:00.000,131656,1.00
43028,987039,INTRODUCAO PILHAS STARLUX,A,2025-02-11 13:39:00.000,151662,3213.98
43029,714719,REPOSIÃ├O NIVEA,A,2025-02-11 15:56:00.000,172114,47246.60
43030,714719,"ROBERTA PROPOSTA COTY EXCLUSIVOS R$ 18.282,00",A,2025-02-11 15:58:00.000,172114,18282.00
43031,930090,PROPOSTA INTRODUCAO / MOTO,A,2025-02-11 16:12:00.000,151662,10850.89
43032,547575,REPOSIÃ├O MAPEX,A,2025-02-11 16:20:00.000,151662,7015.00
43033,640865,INTRODUÃ├O CIMED - GERENCIAMENTO,A,2025-02-11 16:38:00.000,172650,6861.16
43034,563274,INTRODUÃ├O CARMED,R,2025-02-11 16:45:00.000,131656,1.00
43035,648764,INTRODUÃ├O NO INSET,R,2025-02-11 17:03:00.000,166082,0.10
43036,202564,INAUGURAÃ├O LOJA - 202564,A,2025-02-11 18:16:00.000,172650,7543.76
43037,10756,BRINDES CONVENÃ├O,R,2025-02-12 08:08:00.000,172650,1.00
43038,154859,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-02-12 08:32:00.000,158188,17413.93
43039,571540,NEGOCIAÃ├O MAPEX,A,2025-02-12 10:24:00.000,166082,5976.17
43040,828117,PROPOSTA MAPEX,A,2025-02-12 10:27:00.000,131656,3948.06
43041,847636,"GISLENE PROPOSTA TRIM - R$ 8000,00",R,2025-02-12 10:41:00.000,131656,1.00
43042,703132,AÃ├O SELLOUT BBOAT,R,2025-02-12 10:48:00.000,175646,1.00
43043,749020,INTRODUÃ├O CARMED,R,2025-02-12 10:51:00.000,175646,1.00
43044,973128,AÃ├O SELLOUT STARSCHOOL,R,2025-02-12 13:13:00.000,166082,0.20
43045,906906,PROPOSTA INTRODUCAO / REPOSICAO MAPEX,A,2025-02-12 13:37:00.000,151662,9633.53
43046,991550,REPOSIÃ├O STARSCHOOL TEMPORADA ESCOLAR,A,2025-02-12 13:51:00.000,166082,13447.24
43047,21214,INTRODUÃ├O STARLUX ENERGY,R,2025-02-12 14:56:00.000,172650,1.00
43048,51304,PROPOSTA SABONETE ISACARE,R,2025-02-12 16:42:00.000,172650,1.00
43049,193627,NEGOCIAÃ├O STARSCHOOL,A,2025-02-12 17:14:00.000,131656,3841.59
43050,521891,NEGOCIAÃ├O MAPEX,A,2025-02-12 17:32:00.000,131656,1036.80
43051,444460,NEGOCIAÃ├O MAPEX,A,2025-02-13 08:49:00.000,166082,4049.10
43052,587155,REPOSICAO MAPEX,E,2025-02-13 15:38:00.000,151662,1.00
43053,821158,PROPOSTA STARLUX ENERGY,A,2025-02-13 15:48:00.000,161240,6129.32
43054,11371,BONIFICAÃ├O SALDO DE RECURSO,R,2025-02-13 16:13:00.000,172650,1.00
43055,526508,INTRODUÃ├O CARMED,R,2025-02-14 10:04:00.000,172114,1.00
43056,140744,INTRODUÃ├O E REPOSIÃ├O MAPEX,A,2025-02-14 10:16:00.000,158188,10626.57
43057,794827,NEGOCIAÃ├O STARLUX ENERGY REPOSIÃ├O,A,2025-02-14 13:45:00.000,172650,21295.49
43058,523519,INTRODUÃ├O STARLUX ENERGY,R,2025-02-14 15:25:00.000,172114,1.00
43059,880539,KARINA PROMOCAO COTY EXCLUSIVOS,A,2025-02-14 17:08:00.000,158188,21061.20
43060,692858,"EDUARDO SOUSA - PROPOSTA TRIM - R$24.241,44",A,2025-02-15 07:30:00.000,175646,24963.75
43061,115452,"EDUARDO SOUSA - PROPOSTA CROCKS - R$11.357,36",A,2025-02-15 07:43:00.000,175646,11357.36
43062,516498,NEGOCIAÃ├O MAPEX,A,2025-02-15 07:52:00.000,166082,2292.92
43063,11371,INVESTIMENTO VALDA,R,2025-02-17 00:55:00.000,172650,1.00
43064,188576,REPOSICAO MAPEX,E,2025-02-17 09:14:00.000,151662,5000.00
43065,799117,PROPOSTA STARLUX ENERGY,A,2025-02-17 11:37:00.000,172650,15020.38
43066,539626,INTRODUÃ├O PILHAS STARLUX ENERGY,R,2025-02-17 14:59:00.000,131656,1.00
43067,870026,NEGOCIAÃ├O MAPEX,A,2025-02-17 15:05:00.000,166082,68692.65
43068,821797,INTRODUÃ├O PILHAS STARLUX ENERGY  // MAPEX,R,2025-02-17 19:35:00.000,172114,1.00
43069,855668,INTRODUÃ├O STARLUX ENERGY,R,2025-02-18 10:40:00.000,158188,5000.00
43070,510800,INTRODUÃ├O CARMED,R,2025-02-18 13:49:00.000,158188,6000.00
43071,892282,PLANINLHA PRIMEIRO PRECO STARLUX PILHAS,R,2025-02-18 15:26:00.000,151662,10000.00
43072,837944,NEGOCIAÃ├O MAPEX,A,2025-02-18 16:52:00.000,166082,10177.20
43073,201119,INAUGURAÃ├O LOJA 107,A,2025-02-18 17:08:00.000,172650,15418.53
43074,201119,PROPOSTA MARÃO - CONSUMIDOR,R,2025-02-18 17:26:00.000,172650,200000.00
